Feature ID,OTU_ID,Immediate_annotated_taxa,rank,threshold,min,max,mean
01b639314a4a5d588d109ca70b7a2785,OTU4620,Spartobacteria,class,0.99,1,1,1
01c2be11e181068e8b427db318d20edc,OTU16,Mesorhizobium,genus,1,2,2,2
01c55013f2475cce2117706e9a410ae6,OTU2986,Polyangiaceae,family,0.97,3,4,3.67
01cdd8d7f690fdfcb8c8cc12f4055f75,OTU1531,Niastella,genus,1,3,3,3
01d85a6452255115c54d35b106855d4c,OTU4738,Cystobacterineae,suborder,1,2,4,3
01e979ba4235a91a5a337939fd3bb318,OTU5122,Proteobacteria,phylum,0.82,1,21,1.96
01ec4f2b1ebfa573fdc4c1ce9dda18fb,OTU2964,Saccharibacteria_genera_incertae_sedis,genus,1,1,1,1
01f599e36f0313c3910e5043ea9c2e00,OTU559,Niastella,genus,0.81,3,3,3
01f856d6b7918dde3bcbf666c930709f,OTU1044,Nocardioides,genus,1,2,3,2.5
01faf1f614f21f73a35b20d36ceb4c1a,OTU491,Rhizobium,genus,0.83,3,6,3.24
0217cc5ee6dc7a788d5ac442e65aa5cc,OTU4645,Chitinophagaceae,family,1,1,6,3.38
0238ad069d0d16306a62ddc0c23a4a0e,OTU4457,Rhodococcus,genus,1,3,6,4.26
027eb0fabba0e68eb4f53b6e96f8dab3,OTU3128,Azoarcus,genus,1,3,5,3.73
0293ef8a9c6a2cda52ec136c72041c4a,OTU3247,WPS-1_genera_incertae_sedis,genus,1,1,1,1
02a4c7d1e1c7183072c5723673eca3ac,OTU1052,Acidobacteria_Gp4,class,0.99,1,1,1
02b2d1b498171ce6f63cdea5b89b7183,OTU203,Pseudoxanthomonas,genus,1,1,2,1.33
02cfeebafaa8fd18d1cd77ae2c5f78c5,OTU3980,Actinobacteria,class,0.99,1,11,1.83
02d81f4d146fbbe87c1e8b83afbd5367,OTU1351,Chitinophaga,genus,1,6,6,6
02dc27c658f446b4aff108316b951848,OTU194,Acidobacteria_Gp4,class,1,1,1,1
02e4508e38a342120b5bb55944029cdd,OTU5055,Xanthomonadaceae,family,0.9,1,4,2.15
02e863f53ba272e646d98a8c11bd83fc,OTU738,Steroidobacter,genus,1,1,1,1
02eca8084057cadadca307de82200d50,OTU4915,Bacteroidetes,phylum,0.99,1,13,1.29
030ec9bda90192299fe9c83b61e3cbd7,OTU1940,Nannocystineae,suborder,1,2,2,2
03162779a387941e5fa2efa62f9eb24e,OTU69,Rhizobiales,order,1,1,11,2.2
03228adc49fa33d7d2431fe98a96518b,OTU990,Chitinophaga,genus,1,6,6,6
0326404786a27e295f5266a6a70f8706,OTU871,Sorangiineae,suborder,1,3,4,3.84
03569f09f569a5c349c1153e7c3c828f,OTU191,Steroidobacter,genus,1,1,1,1
03602b9efd53a74968db30fefcc2b6ee,OTU856,Xanthomonadaceae,family,1,1,4,2.15
038bdf50f62f33d4df0d585eedb3dd2f,OTU201,Gemmatimonas,genus,0.95,1,2,1.67
03958142092ecccaa04ac827bd2bf1d2,OTU2810,Legionella,genus,1,3,4,3.08
03a64d13e79d221345e1e8cca9c92006,OTU2822,Acidobacteria,phylum,1,1,2,1.28
03b0e516acfc6405bb14fdc5acd71fa0,OTU3295,Brevundimonas,genus,0.98,2,2,2
03bfa506946540240b8dbe93213f8aba,OTU5247,Bacilli,class,0.84,1,17,5.28
03c7ac89c9d0717a8ff35f08e381ed7b,OTU636,Acidovorax,genus,1,3,4,3.5
03d3817bc057627ba14889e0cf135834,OTU2601,Agromyces,genus,1,2,3,2.5
03de77f4e2c7d9dfc761614a26487afd,OTU2094,Dokdonella,genus,0.94,2,2,2
03eac6465291d0957e3e154c1c724fb1,OTU1027,Nocardioides,genus,1,2,3,2.5
03f7dddb03a07c42a7d48e6345b32167,OTU1168,Bacteria,domain,0.99,1,21,1.8
042d701f83d220d1c332a2d798d8c5c3,OTU4688,Gammaproteobacteria,class,0.97,1,21,2.69
04633c547bbcc6fdb5436048f2668010,OTU1330,Xanthomonadaceae,family,1,1,4,2.15
049141cbbaa69ae047a11015ce85be60,OTU2633,Bacteria,domain,1,1,21,1.8
0494b2de9d1aee1ca2576fbc87be21cc,OTU755,Xanthomonadaceae,family,1,1,4,2.15
04a7b58ba72f287bb1ea2729d63a317c,OTU1471,Bacteria,domain,1,1,21,1.8
04af28f92921fd89af0cc80702b473ca,OTU2258,Sinobacteraceae,family,1,1,2,1.5
04b10d92a324e28d16d89be3618455d4,OTU1291,Dyella,genus,1,2,2,2
04b8dced36638de1a27e214a8b20b877,OTU2512,Steroidobacter,genus,0.91,1,1,1
04bac3dc6c8366f357f9e60c5355966e,OTU1905,Burkholderiales,order,1,1,9,3.48
04c76523444046ace2da8d5c29c822e1,OTU1555,Chitinophagaceae,family,1,1,6,3.38
04d21cd5f062df95f69cefc1da48cddf,OTU2732,Chitinophagaceae,family,1,1,6,3.38
04eaad2b5a588d09cf3c83ad494daef0,OTU1048,Caulobacter,genus,1,2,2,2
04f57b230204b191e3cff602c64ba2f2,OTU2765,Cytophagales,order,1,1,8,2.69
04fc43aa1066e76753457f629f5ab8fc,OTU603,Hyphomicrobium,genus,0.99,1,1,1
04fc86a226a06e901b8aefd5bc9d7333,OTU1348,Chitinophaga,genus,1,6,6,6
05015ccb13ccc77c322044d487eff089,OTU1211,Betaproteobacteria,class,1,1,10,2.77
05126b150ccd31ac09a589fb1b482a96,OTU3047,Rhodospirillaceae,family,0.98,1,10,3.48
051bc3f0b9ac1db8b39aadce505f153e,OTU2901,Actinobacteria,phylum,1,1,11,1.83
052de802b59e4d258d96375c7bc6e072,OTU22,Stenotrophomonas,genus,0.95,2,4,3.64
056b724c741107e50a4e0a70060d03ac,OTU5020,Gammaproteobacteria,class,0.99,1,21,2.69
057d6f3e3280c94f4fc923f6f574287a,OTU2002,Geobacter,genus,1,2,4,2.64
057ee867db3c487196cd0816a92236b0,OTU4522,Rhodospirillales,order,0.97,1,10,3.06
0585a112fa4006431d7705d03ee775f3,OTU4665,Thaumarchaeota,phylum,0.98,1,2,1.12
059e638ff4784bb839f3d4aa7bccd1b7,OTU785,Chloroflexi,phylum,0.91,1,3,1.71
05a4c994fe80c663096a842cfdaa7b0d,OTU5022,Bacteria,domain,1,1,21,1.8
05bca58d5eded85f3ec68520e272cc33,OTU4246,Rhodocyclaceae,family,0.82,2,5,2.84
05d1502d7cf509ae2de4257a2180b91b,OTU2442,Chloroflexi,phylum,0.81,1,3,1.71
05e84ca13637ccd38793805c2727dc2c,OTU4327,Olivibacter,genus,0.99,4,4,4
05f0965f88b239849e35e31965e66218,OTU1623,Betaproteobacteria,class,1,1,10,2.77
05f774b654c162b754338a5772e81e81,OTU380,Acidobacteria_Gp4,class,1,1,1,1
0605686f00a848a44e73dc45576c2b1c,OTU3933,Actinobacteria,class,0.89,1,11,1.83
06305996841d23288ae2b0ea84966813,OTU3712,Ensifer,genus,0.81,2,5,3.03
065ab6a405d7c4b0601aae4de5a76a4e,OTU3512,Alphaproteobacteria_incertae_sedis,order,0.99,2,2,2
066c59ca1194f9c10b1f4f9ed131d8d8,OTU876,Novosphingobium,genus,0.85,3,5,3.33
066e619342585578fb4c25ebb396cbca,OTU5326,Proteobacteria,phylum,0.93,1,21,1.96
067a7e0c8fad9e30ec00fe3763eb45e9,OTU596,Chloroflexi,phylum,0.92,1,3,1.71
06ab9ef37e1c93102b6ae2b9c36427f9,OTU548,Gp6,genus,1,1,1,1
06c34f24970a911ee5e359520343f3da,OTU206,Sphingomonas,genus,0.87,1,4,2.18
06c99bdb8e29f7264962fd05372c1817,OTU79,Betaproteobacteria,class,1,1,10,2.77
06d0fe601aea1994ce80eab223876b0a,OTU3363,Caldilineaceae,family,0.82,2,2,2
06de042a067bde9f0539fd3dd6a5aada,OTU3609,Bacteria,domain,1,1,21,1.8
06df52d8c58c629b789c05878048bd93,OTU2954,Betaproteobacteria,class,0.99,1,10,2.77
06dfbe479453a2cd7d92e9bdca0b7881,OTU2196,Acidobacteria,phylum,1,1,2,1.28
06fc867583556203a94752193f39cd41,OTU5200,Bacteria,domain,0.99,1,21,1.8
0719f05569e6c91f107aba24c6d0c373,OTU278,Phenylobacterium,genus,0.97,1,1,1
07370768ccac7af2a10c9cca25479ec2,OTU5255,Bacteria,domain,0.99,1,21,1.8
07482a854013652a4e8d17e1c19d211c,OTU2485,Gp6,genus,1,1,1,1
074e6ab7d65a019891ffe3a2b7a59287,OTU266,Comamonadaceae,family,1,1,9,2.75
07558d0d37c69e5147b309f33389613d,OTU2209,Actinomycetales,order,1,1,11,2.3
078570c6a13a188b955ce65e786e2ecd,OTU3241,Xanthomonadaceae,family,1,1,4,2.15
079070bd176fe29a77881a66d92a95d5,OTU533,Steroidobacter,genus,0.93,1,1,1
07992c0c41ffb0a2bdfb33769931dcc2,OTU4281,Alphaproteobacteria,class,0.97,1,11,2.03
07992ffe57cee2dc3a5610b4476f8e5d,OTU1180,Xanthomonadaceae,family,1,1,4,2.15
07bc6143551e38126cbac2eb9c5f5a51,OTU174,Nocardioidaceae,family,1,2,3,2.17
07e3e4ae3dbfbd9c157363f3a1123e30,OTU5170,Bacteria,domain,0.99,1,21,1.8
07faff636b983049455d611d741b32b7,OTU658,Bacteria,domain,0.99,1,21,1.8
080887901113ec3232fe175c4af8bd63,OTU2536,Acidimicrobineae,suborder,0.9,1,2,1.5
0808a7997d842a41cc7955ce9c8bf55a,OTU2080,Niastella,genus,1,3,3,3
0819e0a1634f281ab0bd09b78e3e3f00,OTU2066,Acidobacteria,phylum,1,1,2,1.28
081a3f0e74094ef210b509d7cc80522e,OTU4676,Parcubacteria_genera_incertae_sedis,genus,1,1,1,1
0821b0f56519618998efe45c3bf84980,OTU5324,Xanthomonadaceae,family,1,1,4,2.15
08325c9540fb28ad7aed3d7ad0c52e72,OTU5435,Betaproteobacteria,class,0.89,1,10,2.77
083723d2db1efaf02c08b4e04bb97ca3,OTU836,Acidobacteria_Gp4,class,1,1,1,1
084de4e8612380cb5e3be0fe0d821c32,OTU3895,Cytophagales,order,0.98,1,8,2.69
0858bbec5366dea745eeb677db936d82,OTU1912,Cytophagales,order,1,1,8,2.69
08634c292f44884212f6ad22bf203f5b,OTU3152,Chloroflexi,phylum,0.8,1,3,1.71
0872511886cd6f724521adf8d75fa180,OTU1141,Acidobacteria_Gp4,class,1,1,1,1
0883077058d83a2cfe449aef4cb5f51e,OTU350,Betaproteobacteria,class,1,1,10,2.77
08860176ae3c731128a59f4c1c6b6b1b,OTU301,Ramlibacter,genus,0.95,1,2,1.5
088919daf4b9a10b3a90761c83e1f039,OTU2551,Burkholderiales,order,1,1,9,3.48
0891dbf6b30f0674d0b521a37bfd1d72,OTU1753,Kribbella,genus,1,2,2,2
0893b6eb2cbbe4c5d701dcd8078c72eb,OTU1713,Opitutus,genus,1,1,2,1.2
08a966d72d4c87c6a7f10f75b4c85cd5,OTU5081,Bacteroidetes,phylum,1,1,13,1.29
08ac6ca66f4d673f827cc4190c6446a1,OTU4745,Methylotenera,genus,0.89,1,3,2
08f3319558e778680b1ec2596407ace0,OTU3163,Pirellula,genus,1,1,1,1
09184eff784efc7f007fef6355539f60,OTU4009,Cyanobacteria,class,0.98,1,6,2.32
092b87eea5c5ba74fef3b8a918b46bda,OTU4180,Microbacteriaceae,family,1,1,4,1.85
095247b51d22517b1ca705340ef7092a,OTU4668,Gp6,genus,1,1,1,1
0966739e7c1b17f56a1b85c2df5b7553,OTU5388,Comamonadaceae,family,0.89,1,9,2.75
097b7d0a5eed03fe2f4edb246cb6de39,OTU1858,Cyanobacteria,class,0.81,1,6,2.32
0982dce95e3b199b86063b74a0909bb8,OTU4105,Parcubacteria_genera_incertae_sedis,genus,0.94,1,1,1
098b3a6aa4b222cdc102c740cc47edc3,OTU2845,Rhizobiaceae,family,1,2,6,3.05
09a47c29074da02dfdf725eb1138d15a,OTU1744,Bacteria,domain,1,1,21,1.8
09a9ba203e40276137adbcb2ea4d73ee,OTU3862,Flammeovirgaceae,family,0.98,2,8,4.5
09b8dc8d4db471868d0329599c8baa77,OTU4098,Chloroflexi,phylum,0.8,1,3,1.71
09cc1ffa795319aff4a99fa089796d6a,OTU2775,Methylotenera,genus,0.92,1,3,2
09ddce08a161488b795253df8be60b91,OTU453,Bacteria,domain,1,1,21,1.8
09e8d57809412d2c9f40b573548772d8,OTU1341,Verrucomicrobia,phylum,1,1,3,1.52
09ecbae939a09f43c749ad17bd3e63e4,OTU597,Bacteroidetes,phylum,1,1,13,1.29
09f265dc4ec8d553fbdda9800ba201fc,OTU4812,Spartobacteria,class,0.98,1,1,1
09f9de8dcace51eeed3a7b5088d11e7c,OTU1360,Cellvibrio,genus,1,2,5,3.33
09ff89c266184d64e9bc42aa5a1f6616,OTU3310,Acidimicrobineae,suborder,0.98,1,2,1.5
0a0b4d06bf53b6368aa5b24739e76893,OTU3069,Pseudonocardia,genus,1,3,4,3.57
0a10a317507fe852913a3b1936e05054,OTU496,Rhodobiaceae,family,0.93,1,1,1
0a31b6d1035f0ff0fd51ec48b34256f7,OTU845,Gp6,genus,1,1,1,1
0a3f094f0e296f9463a1ccced00e70fc,OTU4907,Bacteria,domain,1,1,21,1.8
0a42a3b934ef66e036b716629255af96,OTU4618,Nannocystineae,suborder,1,2,2,2
0a512fe4bad2628349cc481b66457f9f,OTU1255,Bacteria,domain,1,1,21,1.8
0a6c95c6a4f8137a226ae88108203af1,OTU3510,Chitinophagaceae,family,1,1,6,3.38
0a73737724af98330cf91f04bd6c7214,OTU4949,Bacteria,domain,1,1,21,1.8
0a7f62d9ed89fe1b2cda8713a37987ff,OTU1260,Chitinophagaceae,family,1,1,6,3.38
0a82e1adcb2c5062e8ccf5ab555ee85d,OTU3897,Bacteria,domain,1,1,21,1.8
0a88141f2173fb589e355f91be66210d,OTU4857,Bacteroidetes,phylum,0.99,1,13,1.29
0a8f178dfb8da47b79d1197d09388268,OTU30,Intrasporangiaceae,family,1,2,2,2
0a9448058f306653e2b5ac6248213734,OTU3608,Proteobacteria,phylum,0.83,1,21,1.96
0a9e31bf1d26e202cca27580fca4e217,OTU1656,Bacteria,domain,1,1,21,1.8
0aa0f019236dbbe61daf59e11e60f7d6,OTU2068,Cytophagales,order,1,1,8,2.69
0aa4e5efdec532483ed7ee5ce852ce27,OTU5098,Chitinophagaceae,family,1,1,6,3.38
0aa5c9fffb129f93e58098dbb68ba169,OTU2644,Bacteria,domain,0.99,1,21,1.8
0aaf441ab2ac8dbfbf6c8099c269b6ca,OTU3429,Bacteria,domain,1,1,21,1.8
0abfcbd8fa0a985fb845ce2857f4e1f9,OTU31,Ensifer,genus,0.99,2,5,3.03
0ac359afe92ba41daff95e5fcf3ff470,OTU3399,Acidobacteria_Gp4,class,1,1,1,1
0afabeabedf1563c8db2087543e1d5f8,OTU1289,Micromonosporaceae,family,1,1,6,3.17
0b0927cef90bfb80e3474084ee71852c,OTU5335,Comamonadaceae,family,0.93,1,9,2.75
0b0ebaec46cb1e09c15a343c41b8f6c4,OTU4579,Rhodothermaceae,family,0.83,1,1,1
0b1192e219f691685f0dbb390d364572,OTU4540,Coxiellaceae,family,1,1,1,1
0b15575b7e2ff46de1ec049e073a19cd,OTU937,Sinobacteraceae,family,1,1,2,1.5
0b41d5f300ee3ee64296b20338505570,OTU2100,Actinoplanes,genus,0.97,3,6,5.17
0b442160aeff63a2e69cabe8c8d0fdb5,OTU3008,Nocardioides,genus,0.99,2,3,2.5
0b47be0b871c751e61b6f727644481f9,OTU5248,Chitinophagaceae,family,1,1,6,3.38
0b571d7ab16676369cd54625a6144ad9,OTU2283,Solirubrobacterales,order,0.97,1,1,1
0b63322af8fa0344f223c429a00c53fd,OTU1913,Mucilaginibacter,genus,1,2,3,2.67
0b672e167673dea3bca683e69cba2256,OTU1764,Burkholderiales,order,0.83,1,9,3.48
0b78867f952f2ca2397febdaa3dfdb2d,OTU3764,Niastella,genus,0.81,3,3,3
0b95784c588215ae46f85aa8df5b9228,OTU3175,Flammeovirgaceae,family,1,2,8,4.5
0bbda372c0b7e5140e8bed6af32e8955,OTU4483,Xanthomonadaceae,family,0.99,1,4,2.15
0bc99108f4154c0fa34d34431fd2a480,OTU343,Sphingomonadaceae,family,1,1,5,2.23
0bd51c2b11edb38adedc8d106bbb7f9f,OTU3335,Gp6,genus,1,1,1,1
0bd5368aed5b117fa1645a3148f8def8,OTU4699,Burkholderia,genus,1,2,7,4.76
0beb758b85c4a686b4ce387bac887ac8,OTU2261,Gammaproteobacteria,class,1,1,21,2.69
0c0294e2deaede7b48eca95471e9d8ee,OTU2528,Gemmatimonas,genus,0.96,1,2,1.67
0c0d4454986c4f2775fb3168c7deda8f,OTU3800,Acidobacteria_Gp1,class,1,1,2,1.1
0c0fc39b2485a71f59518fdaa6bacf17,OTU4838,Burkholderiales,order,1,1,9,3.48
0c136bd23ac35091af7154d9c25fa8ec,OTU1041,Bacteria,domain,1,1,21,1.8
0c16c306adcca8c64d817d9f12f77463,OTU1707,Verrucomicrobia,phylum,1,1,3,1.52
0c1f109cddb55cbca72872d49d0474da,OTU4928,GpIV,genus,0.87,1,3,1.75
0c356458066cf418bc6d85730110bea6,OTU4228,Rhizobiales,order,0.94,1,11,2.2
0c4050533038555ce2d941c801be2909,OTU190,Acidobacteria_Gp4,class,1,1,1,1
0c4054a10300d25ab97297486d89ad3a,OTU3565,Xanthobacteraceae,family,0.97,1,3,2
0c457766cb8f9280f31e57ac199585d7,OTU6,Arthrobacter,genus,1,4,9,5.71
0c5aad8357bf8807e6e250de90b0b7d8,OTU4152,Nocardioides,genus,1,2,3,2.5
0c5c5c44fe8be45941cd4433fc16b91c,OTU880,Bacteria,domain,1,1,21,1.8
0c648456d582c7fe24bf871a392ee631,OTU52,Amycolatopsis,genus,1,3,4,3.91
0c6f8e3cb66947204cae236072a04a74,OTU936,Cyanobacteria,class,1,1,6,2.32
0c80457a86a730c7fe63935fdc34594d,OTU5086,Bacteria,domain,1,1,21,1.8
0c83be887f0b8e0a4ce780a854350811,OTU2111,Betaproteobacteria,class,1,1,10,2.77
0c90265f5d7ce033ca29ac8564373e39,OTU4293,Pseudoxanthomonas,genus,0.89,1,2,1.33
0c9f67953d76be24360331808af699ce,OTU911,Acidobacteria_Gp4,class,1,1,1,1
0cba1395635dfe2247c679047b2a5632,OTU917,Gemmatimonas,genus,1,1,2,1.67
0cf4ed7342bd174b8ab53370423b6e5f,OTU122,Acidobacteria_Gp4,class,1,1,1,1
0d1dc6f418a2bb8b94260a56f34fd9a5,OTU2873,Cyanobacteria,class,0.93,1,6,2.32
0d42ea839a935c748f950dba78522dd5,OTU273,Spartobacteria,class,1,1,1,1
0d4b981983fc793563b132a5bbfd65e4,OTU5420,Bacteria,domain,1,1,21,1.8
0d5a448a09a15a1e340db789a192349f,OTU1428,Chitinophagaceae,family,1,1,6,3.38
0d5d279214e69fa267e05dd84f7beaae,OTU4308,Bacteria,domain,1,1,21,1.8
0d67a3d95f037d3c8a486231e99df9b3,OTU5066,Firmicutes,phylum,1,1,17,3.98
0d72f0cd07a51f1e64173137149c432a,OTU4075,Verrucomicrobia,phylum,1,1,3,1.52
0d850833eaf8bbc2e3d8d0d07168fcf3,OTU3173,Acidobacteria_Gp3,class,1,2,2,2
0dc65f13c2b944799f5f0c026f062f6d,OTU3252,Bacteria,domain,1,1,21,1.8
0dc7d6da8221fa478187dfe09a597885,OTU560,Xanthomonadaceae,family,1,1,4,2.15
0dcb6b086db466f7e378cfe775074442,OTU4881,Bacteroidales,order,0.81,2,7,3.34
0dcb89d978e3c73b67fc1d1ff53423e7,OTU38,Oxalobacteraceae,family,1,1,8,3.51
0dde202906caaab4a5f50986c9d1dcc5,OTU4874,Bacteria,domain,1,1,21,1.8
0de81f25336ea4807f0104cda3e9a314,OTU3994,Verrucomicrobia,phylum,1,1,3,1.52
0e09d7d805f39189ee0399a836d7e2ed,OTU3319,Gemmatimonas,genus,0.89,1,2,1.67
0e0f483758c7646dcc80571181e148e5,OTU609,Nocardioides,genus,1,2,3,2.5
0e10989d45470d8175ea6ff13b9e9b52,OTU1731,Acidobacteria,phylum,1,1,2,1.28
0e10c1283850845c4b9af7f0a3499e59,OTU1550,Polyangiaceae,family,1,3,4,3.67
0e20ce624d6c41eee6e8beef1c107db0,OTU199,Saccharibacteria_genera_incertae_sedis,genus,1,1,1,1
0e21ef46b0b54a5f4478d8719b933eaa,OTU3377,Comamonadaceae,family,0.95,1,9,2.75
0e26d7b7a76e73bf243b8a8d4b1af3a4,OTU475,Sphingomonas,genus,0.98,1,4,2.18
0e37dcb3ae0c3ed017d853e8efb1c76e,OTU4663,Alphaproteobacteria,class,0.99,1,11,2.03
0e38e23e86195b405a221692a190029c,OTU1717,Sorangiineae,suborder,0.99,3,4,3.84
0e647e58ca99f66297970de583f5fcfa,OTU2271,Mycobacterium,genus,1,1,3,1.14
0e7bdefd8af77cf9836899e37c3fca2a,OTU2764,Rhodospirillaceae,family,1,1,10,3.48
0e88a4a3001a605a8329035778c37f8c,OTU1699,Saccharibacteria_genera_incertae_sedis,genus,0.96,1,1,1
0eaec4ede3c181d267d2f0f064f6e9eb,OTU2848,Verrucomicrobia,phylum,1,1,3,1.52
0eb39f30a7e979bc0d51c66789d103d8,OTU4823,Spartobacteria,class,0.97,1,1,1
0ebc67f40c5f7b74895fc72d6ba60b92,OTU4782,Bacteria,domain,1,1,21,1.8
0ece65d5c65521b426ddcdd92afc9e81,OTU3481,Chitinophaga,genus,1,6,6,6
0ed0954e0f93287e73ab3022e15651bd,OTU2947,Acidobacteria_Gp3,class,1,2,2,2
0ed55004d962b1a22927f8724e593093,OTU391,Opitutus,genus,1,1,2,1.2
0ef27826a29815a926d0414fb27f762c,OTU4479,Acidobacteria,phylum,1,1,2,1.28
0efcd7d88005075f2675a604367c687e,OTU2989,Bacteria,domain,1,1,21,1.8
0f03dd61b0877d1567a14019faea34e9,OTU4426,Burkholderiales,order,1,1,9,3.48
0f0736a70308c64baf839c93fb892b5b,OTU2805,Burkholderiales_incertae_sedis,family,0.94,1,4,2.1
0f23e832764eaddb1b433128fb9b4687,OTU281,Algoriphagus,genus,1,3,3,3
0f2673dcf4b3484f997c713caf080be9,OTU2206,Acidobacteria_Gp4,class,0.93,1,1,1
0f3208b1e8b7ff9a145be094ae957a19,OTU4282,Cyanobacteria,class,1,1,6,2.32
0f493224be386c49fcabaeebbf14fc28,OTU1918,Saccharibacteria_genera_incertae_sedis,genus,1,1,1,1
0f4edbaf0346c051e4d73a53309f486a,OTU3568,Sphingomonadaceae,family,1,1,5,2.23
0f4fcb213a4a1e07bfc3d45510d47ee6,OTU5323,Lysobacter,genus,0.84,2,3,2.12
0f5221f56916acc63015be057e37b186,OTU1757,Betaproteobacteria,class,1,1,10,2.77
0f584145836f51e2c623f7f55085f86e,OTU2668,Bacteria,domain,1,1,21,1.8
0f7247dbddbe2a59f13234f0974da7e7,OTU4336,Gp6,genus,1,1,1,1
0f761aecb1a1d9b1083f3fc73b7898a8,OTU1097,Myxococcales,order,0.97,2,4,2.71
0f85cdd2cf2d78521145f738ed909ba3,OTU150,Nonomuraea,genus,1,5,5,5
0f8bd04d36c438f8e9864af55af334fa,OTU1567,Cytophagales,order,1,1,8,2.69
0f9782088ea7c9e25a98188e30638995,OTU4689,Anaerolineaceae,family,0.93,1,2,1.5
0fa0ebfc8b9ab159244fa997ace94203,OTU4502,Salinicola,genus,1,5,5,5
0fa43b50ea53c85a54b61d9104afe4ac,OTU1284,Betaproteobacteria,class,1,1,10,2.77
0fa6342a76b278995cc1da76eef99941,OTU5004,Anaerococcus,genus,1,3,4,3.5
0fa9931fb8313860f35823d87f0eb996,OTU3715,Acidobacteria_Gp4,class,1,1,1,1
0faa2060da769eb4a94439f5a5ad99a5,OTU319,Xanthomonadaceae,family,1,1,4,2.15
0fc8047911132f1e4e25b56999621437,OTU3518,Bacteria,domain,1,1,21,1.8
0fe880c842f814b8699b7ca81a3c02d2,OTU2527,Rhodospirillales,order,1,1,10,3.06
0ff6dcbdfd1f20aeb3731298ab6c62b8,OTU1394,Verrucomicrobia,phylum,1,1,3,1.52
