"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"37","Alphaproteobacteria","Rhizosphere-ipd3",9793109194.4,"Rhizosphere","ipd3","Alphaproteobacteria","Rhizosphere-ipd3",3153223698.96579
"38","Actinobacteria","Rhizosphere-ipd3",2547460308,"Rhizosphere","ipd3","Actinobacteria","Rhizosphere-ipd3",681168356.01155
"39","Bacteroidetes","Rhizosphere-ipd3",608881886.14,"Rhizosphere","ipd3","Bacteroidetes","Rhizosphere-ipd3",215369796.258249
"40","Gammaproteobacteria","Rhizosphere-ipd3",1143208848.62,"Rhizosphere","ipd3","Gammaproteobacteria","Rhizosphere-ipd3",357632791.941582
"41","Acidobacteria","Rhizosphere-ipd3",1359266219.56,"Rhizosphere","ipd3","Acidobacteria","Rhizosphere-ipd3",423897421.471591
"42","Betaproteobacteria","Rhizosphere-ipd3",870078585.2,"Rhizosphere","ipd3","Betaproteobacteria","Rhizosphere-ipd3",313018935.660672
"43","Verrucomicrobia","Rhizosphere-ipd3",455576626.74,"Rhizosphere","ipd3","Verrucomicrobia","Rhizosphere-ipd3",136862260.649267
"44","Chloroflexi","Rhizosphere-ipd3",290388125.72,"Rhizosphere","ipd3","Chloroflexi","Rhizosphere-ipd3",135748445.645971
"45","Firmicutes","Rhizosphere-ipd3",132798358.938,"Rhizosphere","ipd3","Firmicutes","Rhizosphere-ipd3",79695316.4360725
"46","Gemmatimonadetes","Rhizosphere-ipd3",179245015.624,"Rhizosphere","ipd3","Gemmatimonadetes","Rhizosphere-ipd3",89981696.7558464
"47","Deltaproteobacteria","Rhizosphere-ipd3",36665599.466,"Rhizosphere","ipd3","Deltaproteobacteria","Rhizosphere-ipd3",10557437.8734228
"48","Others","Rhizosphere-ipd3",164579365.32,"Rhizosphere","ipd3","Others","Rhizosphere-ipd3",53326318.9410478
"49","Alphaproteobacteria","Rhizosphere-lyk3",11315837212.2,"Rhizosphere","lyk3","Alphaproteobacteria","Rhizosphere-lyk3",2519847362.27243
"50","Actinobacteria","Rhizosphere-lyk3",2706391933.2,"Rhizosphere","lyk3","Actinobacteria","Rhizosphere-lyk3",856079033.744452
"51","Bacteroidetes","Rhizosphere-lyk3",2153555781.46,"Rhizosphere","lyk3","Bacteroidetes","Rhizosphere-lyk3",2712890196.58437
"52","Gammaproteobacteria","Rhizosphere-lyk3",1469760749,"Rhizosphere","lyk3","Gammaproteobacteria","Rhizosphere-lyk3",271455538.996985
"53","Acidobacteria","Rhizosphere-lyk3",1170422423.1,"Rhizosphere","lyk3","Acidobacteria","Rhizosphere-lyk3",200517810.00871
"54","Betaproteobacteria","Rhizosphere-lyk3",1025981219.22,"Rhizosphere","lyk3","Betaproteobacteria","Rhizosphere-lyk3",281549832.365758
"55","Verrucomicrobia","Rhizosphere-lyk3",458502484.98,"Rhizosphere","lyk3","Verrucomicrobia","Rhizosphere-lyk3",111506148.450552
"56","Chloroflexi","Rhizosphere-lyk3",234300075.132,"Rhizosphere","lyk3","Chloroflexi","Rhizosphere-lyk3",137441442.592248
"57","Firmicutes","Rhizosphere-lyk3",99143062.638,"Rhizosphere","lyk3","Firmicutes","Rhizosphere-lyk3",42081321.0744888
"58","Gemmatimonadetes","Rhizosphere-lyk3",171137499.72,"Rhizosphere","lyk3","Gemmatimonadetes","Rhizosphere-lyk3",51293238.1390013
"59","Deltaproteobacteria","Rhizosphere-lyk3",56891961.592,"Rhizosphere","lyk3","Deltaproteobacteria","Rhizosphere-lyk3",14317374.3215346
"60","Others","Rhizosphere-lyk3",162287061.214,"Rhizosphere","lyk3","Others","Rhizosphere-lyk3",77785438.0895409
"61","Alphaproteobacteria","Rhizosphere-nfp",9571567386.4,"Rhizosphere","nfp","Alphaproteobacteria","Rhizosphere-nfp",2835551381.87568
"62","Actinobacteria","Rhizosphere-nfp",2339660500.6,"Rhizosphere","nfp","Actinobacteria","Rhizosphere-nfp",960838902.612733
"63","Bacteroidetes","Rhizosphere-nfp",1190807834.68,"Rhizosphere","nfp","Bacteroidetes","Rhizosphere-nfp",1376136972.3554
"64","Gammaproteobacteria","Rhizosphere-nfp",1047160854.28,"Rhizosphere","nfp","Gammaproteobacteria","Rhizosphere-nfp",468233402.371813
"65","Acidobacteria","Rhizosphere-nfp",1311155912.78,"Rhizosphere","nfp","Acidobacteria","Rhizosphere-nfp",533874480.557053
"66","Betaproteobacteria","Rhizosphere-nfp",755785884.3,"Rhizosphere","nfp","Betaproteobacteria","Rhizosphere-nfp",247655726.186001
"67","Verrucomicrobia","Rhizosphere-nfp",489699199.08,"Rhizosphere","nfp","Verrucomicrobia","Rhizosphere-nfp",165179331.383181
"68","Chloroflexi","Rhizosphere-nfp",270725252.2,"Rhizosphere","nfp","Chloroflexi","Rhizosphere-nfp",158296754.803843
"69","Firmicutes","Rhizosphere-nfp",167662048.76,"Rhizosphere","nfp","Firmicutes","Rhizosphere-nfp",93173171.5828317
"70","Gemmatimonadetes","Rhizosphere-nfp",103970295.52,"Rhizosphere","nfp","Gemmatimonadetes","Rhizosphere-nfp",12174473.0161311
"71","Deltaproteobacteria","Rhizosphere-nfp",14427379.8852,"Rhizosphere","nfp","Deltaproteobacteria","Rhizosphere-nfp",6050516.4769384
"72","Others","Rhizosphere-nfp",141802426.36,"Rhizosphere","nfp","Others","Rhizosphere-nfp",25499112.5429851
"73","Alphaproteobacteria","Rhizosphere-pt4",5730154564,"Rhizosphere","pt4","Alphaproteobacteria","Rhizosphere-pt4",1780469958.78247
"74","Actinobacteria","Rhizosphere-pt4",2779541337,"Rhizosphere","pt4","Actinobacteria","Rhizosphere-pt4",2339100572.82296
"75","Bacteroidetes","Rhizosphere-pt4",2317842004.2,"Rhizosphere","pt4","Bacteroidetes","Rhizosphere-pt4",2581595919.32672
"76","Gammaproteobacteria","Rhizosphere-pt4",1411439520.74,"Rhizosphere","pt4","Gammaproteobacteria","Rhizosphere-pt4",1002250386.84779
"77","Acidobacteria","Rhizosphere-pt4",1151553803.24,"Rhizosphere","pt4","Acidobacteria","Rhizosphere-pt4",345331104.027695
"78","Betaproteobacteria","Rhizosphere-pt4",849593226.2,"Rhizosphere","pt4","Betaproteobacteria","Rhizosphere-pt4",136838975.429727
"79","Verrucomicrobia","Rhizosphere-pt4",318424523.42,"Rhizosphere","pt4","Verrucomicrobia","Rhizosphere-pt4",120090051.391418
"80","Chloroflexi","Rhizosphere-pt4",193678181.988,"Rhizosphere","pt4","Chloroflexi","Rhizosphere-pt4",89615136.6187012
"81","Firmicutes","Rhizosphere-pt4",86567535.126,"Rhizosphere","pt4","Firmicutes","Rhizosphere-pt4",36825186.2850186
"82","Gemmatimonadetes","Rhizosphere-pt4",193644298.24,"Rhizosphere","pt4","Gemmatimonadetes","Rhizosphere-pt4",43777591.3821234
"83","Deltaproteobacteria","Rhizosphere-pt4",62081507.44,"Rhizosphere","pt4","Deltaproteobacteria","Rhizosphere-pt4",25788714.0993955
"84","Others","Rhizosphere-pt4",151863344.234,"Rhizosphere","pt4","Others","Rhizosphere-pt4",53055431.3210113
"85","Alphaproteobacteria","Root-A17",783675975.18,"Root","A17","Alphaproteobacteria","Root-A17",274912671.03576
"86","Actinobacteria","Root-A17",1684691497,"Root","A17","Actinobacteria","Root-A17",393355347.874163
"87","Bacteroidetes","Root-A17",104380294.788,"Root","A17","Bacteroidetes","Root-A17",48413879.5884739
"88","Gammaproteobacteria","Root-A17",319961701.28,"Root","A17","Gammaproteobacteria","Root-A17",116597819.150654
"89","Acidobacteria","Root-A17",24752506.904,"Root","A17","Acidobacteria","Root-A17",3013189.90126565
"90","Betaproteobacteria","Root-A17",239114767.66,"Root","A17","Betaproteobacteria","Root-A17",109808456.792399
"91","Verrucomicrobia","Root-A17",13133663.4536,"Root","A17","Verrucomicrobia","Root-A17",8103857.73147838
"92","Chloroflexi","Root-A17",17439528.2884,"Root","A17","Chloroflexi","Root-A17",10841462.8035951
"93","Firmicutes","Root-A17",28964706.7058,"Root","A17","Firmicutes","Root-A17",15467459.4957415
"94","Gemmatimonadetes","Root-A17",3755025.7662,"Root","A17","Gemmatimonadetes","Root-A17",4708484.41582973
"95","Deltaproteobacteria","Root-A17",17729280.4612,"Root","A17","Deltaproteobacteria","Root-A17",8101415.46773043
"96","Others","Root-A17",43916215.172,"Root","A17","Others","Root-A17",29463026.8152266
"97","Alphaproteobacteria","Root-dmi2",1366135521.46,"Root","dmi2","Alphaproteobacteria","Root-dmi2",1014691651.42482
"98","Actinobacteria","Root-dmi2",1867807102.68,"Root","dmi2","Actinobacteria","Root-dmi2",1150259196.96847
"99","Bacteroidetes","Root-dmi2",222317012.112,"Root","dmi2","Bacteroidetes","Root-dmi2",245098857.549878
"100","Gammaproteobacteria","Root-dmi2",563007928.8,"Root","dmi2","Gammaproteobacteria","Root-dmi2",503050967.265626
"101","Acidobacteria","Root-dmi2",82150594.48,"Root","dmi2","Acidobacteria","Root-dmi2",113486043.117668
"102","Betaproteobacteria","Root-dmi2",490208157.7,"Root","dmi2","Betaproteobacteria","Root-dmi2",519921967.631682
"103","Verrucomicrobia","Root-dmi2",19611205.9948,"Root","dmi2","Verrucomicrobia","Root-dmi2",10939109.3031344
"104","Chloroflexi","Root-dmi2",46847909.784,"Root","dmi2","Chloroflexi","Root-dmi2",39620824.5234396
"105","Firmicutes","Root-dmi2",194841509.4762,"Root","dmi2","Firmicutes","Root-dmi2",380305318.297849
"106","Gemmatimonadetes","Root-dmi2",6824304.8436,"Root","dmi2","Gemmatimonadetes","Root-dmi2",3582177.36655102
"107","Deltaproteobacteria","Root-dmi2",76244855.278,"Root","dmi2","Deltaproteobacteria","Root-dmi2",69009888.5664691
"108","Others","Root-dmi2",94838073.662,"Root","dmi2","Others","Root-dmi2",114527110.155851
"109","Alphaproteobacteria","Root-dmi3",1804938955.2,"Root","dmi3","Alphaproteobacteria","Root-dmi3",676697818.570679
"110","Actinobacteria","Root-dmi3",1275721773.54,"Root","dmi3","Actinobacteria","Root-dmi3",660897528.440632
"111","Bacteroidetes","Root-dmi3",254783816.24,"Root","dmi3","Bacteroidetes","Root-dmi3",143127160.143314
"112","Gammaproteobacteria","Root-dmi3",650594951.42,"Root","dmi3","Gammaproteobacteria","Root-dmi3",422514880.382611
"113","Acidobacteria","Root-dmi3",200747304.362,"Root","dmi3","Acidobacteria","Root-dmi3",232997695.096669
"114","Betaproteobacteria","Root-dmi3",237041878.9,"Root","dmi3","Betaproteobacteria","Root-dmi3",56976021.555073
"115","Verrucomicrobia","Root-dmi3",49096179.842,"Root","dmi3","Verrucomicrobia","Root-dmi3",31674333.1669534
"116","Chloroflexi","Root-dmi3",104103789.112,"Root","dmi3","Chloroflexi","Root-dmi3",112869165.807992
"117","Firmicutes","Root-dmi3",39682021.5928,"Root","dmi3","Firmicutes","Root-dmi3",47491968.3187435
"118","Gemmatimonadetes","Root-dmi3",27510897.604,"Root","dmi3","Gemmatimonadetes","Root-dmi3",31675050.9065339
"119","Deltaproteobacteria","Root-dmi3",97812512.866,"Root","dmi3","Deltaproteobacteria","Root-dmi3",59401942.4043219
"120","Others","Root-dmi3",74990317.238,"Root","dmi3","Others","Root-dmi3",78906874.6110505
"121","Alphaproteobacteria","Root-ipd3",812451869.12,"Root","ipd3","Alphaproteobacteria","Root-ipd3",503945394.439093
"122","Actinobacteria","Root-ipd3",1996463775.94,"Root","ipd3","Actinobacteria","Root-ipd3",848265869.157667
"123","Bacteroidetes","Root-ipd3",55891800.918,"Root","ipd3","Bacteroidetes","Root-ipd3",34305321.411176
"124","Gammaproteobacteria","Root-ipd3",211092887.612,"Root","ipd3","Gammaproteobacteria","Root-ipd3",112242653.347424
"125","Acidobacteria","Root-ipd3",8236730.4348,"Root","ipd3","Acidobacteria","Root-ipd3",4386767.7261429
"126","Betaproteobacteria","Root-ipd3",100406881.61,"Root","ipd3","Betaproteobacteria","Root-ipd3",58073532.8074615
"127","Verrucomicrobia","Root-ipd3",5540809.02956,"Root","ipd3","Verrucomicrobia","Root-ipd3",3544610.14476606
"128","Chloroflexi","Root-ipd3",10082974.3992,"Root","ipd3","Chloroflexi","Root-ipd3",5571775.52029291
"129","Firmicutes","Root-ipd3",14982460.456,"Root","ipd3","Firmicutes","Root-ipd3",12783331.1278365
"130","Gemmatimonadetes","Root-ipd3",1192839.63854,"Root","ipd3","Gemmatimonadetes","Root-ipd3",2411948.52013127
"131","Deltaproteobacteria","Root-ipd3",8369581.031,"Root","ipd3","Deltaproteobacteria","Root-ipd3",5692239.39849176
"132","Others","Root-ipd3",25214135.7542,"Root","ipd3","Others","Root-ipd3",18250542.591969
"133","Alphaproteobacteria","Root-lyk3",500072240.36,"Root","lyk3","Alphaproteobacteria","Root-lyk3",198688761.060597
"134","Actinobacteria","Root-lyk3",1802336448.6,"Root","lyk3","Actinobacteria","Root-lyk3",715468656.295089
"135","Bacteroidetes","Root-lyk3",64939892.51,"Root","lyk3","Bacteroidetes","Root-lyk3",74903589.1181898
"136","Gammaproteobacteria","Root-lyk3",227825500.28,"Root","lyk3","Gammaproteobacteria","Root-lyk3",61654039.1722348
"137","Acidobacteria","Root-lyk3",8652800.2182,"Root","lyk3","Acidobacteria","Root-lyk3",5368380.79348011
"138","Betaproteobacteria","Root-lyk3",156847605.13,"Root","lyk3","Betaproteobacteria","Root-lyk3",91861769.1035564
"139","Verrucomicrobia","Root-lyk3",6239163.2462,"Root","lyk3","Verrucomicrobia","Root-lyk3",2170121.27817226
"140","Chloroflexi","Root-lyk3",6441579.0376,"Root","lyk3","Chloroflexi","Root-lyk3",4122922.89750926
"141","Firmicutes","Root-lyk3",20277737.137,"Root","lyk3","Firmicutes","Root-lyk3",9674918.80935262
"142","Gemmatimonadetes","Root-lyk3",1695239.5802,"Root","lyk3","Gemmatimonadetes","Root-lyk3",1725127.86764065
"143","Deltaproteobacteria","Root-lyk3",8936459.069,"Root","lyk3","Deltaproteobacteria","Root-lyk3",6551007.80819125
"144","Others","Root-lyk3",13968667.9504,"Root","lyk3","Others","Root-lyk3",6477877.62799868
"145","Alphaproteobacteria","Root-nfp",516111652.82,"Root","nfp","Alphaproteobacteria","Root-nfp",192026847.978815
"146","Actinobacteria","Root-nfp",1708838697.98,"Root","nfp","Actinobacteria","Root-nfp",764432821.724756
"147","Bacteroidetes","Root-nfp",61848845.728,"Root","nfp","Bacteroidetes","Root-nfp",48253349.9066061
"148","Gammaproteobacteria","Root-nfp",226312135.68,"Root","nfp","Gammaproteobacteria","Root-nfp",88713955.5977655
"149","Acidobacteria","Root-nfp",12544901.6924,"Root","nfp","Acidobacteria","Root-nfp",8366633.56393297
"150","Betaproteobacteria","Root-nfp",155099968.614,"Root","nfp","Betaproteobacteria","Root-nfp",73910112.0226813
"151","Verrucomicrobia","Root-nfp",7118344.2972,"Root","nfp","Verrucomicrobia","Root-nfp",3857071.71209843
"152","Chloroflexi","Root-nfp",19016685.5956,"Root","nfp","Chloroflexi","Root-nfp",13650219.2477472
"153","Firmicutes","Root-nfp",32840882.226,"Root","nfp","Firmicutes","Root-nfp",24015149.8241863
"154","Gemmatimonadetes","Root-nfp",2191830.0078,"Root","nfp","Gemmatimonadetes","Root-nfp",3076655.19992505
"155","Deltaproteobacteria","Root-nfp",26252227.4528,"Root","nfp","Deltaproteobacteria","Root-nfp",26674602.4998626
"156","Others","Root-nfp",10254765.0554,"Root","nfp","Others","Root-nfp",6706273.09029281
"157","Alphaproteobacteria","Root-pt4",511100979.88,"Root","pt4","Alphaproteobacteria","Root-pt4",232908129.186015
"158","Actinobacteria","Root-pt4",745765405.78,"Root","pt4","Actinobacteria","Root-pt4",342115629.876209
"159","Bacteroidetes","Root-pt4",56008850.718,"Root","pt4","Bacteroidetes","Root-pt4",39372075.8527509
"160","Gammaproteobacteria","Root-pt4",151482690.46,"Root","pt4","Gammaproteobacteria","Root-pt4",61622410.5685115
"161","Acidobacteria","Root-pt4",19943096.6982,"Root","pt4","Acidobacteria","Root-pt4",32359978.8314708
"162","Betaproteobacteria","Root-pt4",123411990.246,"Root","pt4","Betaproteobacteria","Root-pt4",57031161.6826841
"163","Verrucomicrobia","Root-pt4",8583605.3802,"Root","pt4","Verrucomicrobia","Root-pt4",7216056.60075686
"164","Chloroflexi","Root-pt4",27211550.0548,"Root","pt4","Chloroflexi","Root-pt4",20076182.7990438
"165","Firmicutes","Root-pt4",29663502.349,"Root","pt4","Firmicutes","Root-pt4",38209159.1221968
"166","Gemmatimonadetes","Root-pt4",5580380.9432,"Root","pt4","Gemmatimonadetes","Root-pt4",3752607.24833213
"167","Deltaproteobacteria","Root-pt4",22038074.047,"Root","pt4","Deltaproteobacteria","Root-pt4",15061797.3068188
"168","Others","Root-pt4",25458731.5852,"Root","pt4","Others","Root-pt4",29801943.0597072
"169","Alphaproteobacteria","Soil",222497953.12,"Soil","Soil","Alphaproteobacteria","Soil",149418218.864583
"170","Actinobacteria","Soil",174955472.014,"Soil","Soil","Actinobacteria","Soil",157172390.381491
"171","Bacteroidetes","Soil",28223406.624,"Soil","Soil","Bacteroidetes","Soil",12288708.8645225
"172","Gammaproteobacteria","Soil",56620954.006,"Soil","Soil","Gammaproteobacteria","Soil",45826837.6872258
"173","Acidobacteria","Soil",263128600.3,"Soil","Soil","Acidobacteria","Soil",143665103.500754
"174","Betaproteobacteria","Soil",79861993.58,"Soil","Soil","Betaproteobacteria","Soil",45045936.1744206
"175","Verrucomicrobia","Soil",57493740.184,"Soil","Soil","Verrucomicrobia","Soil",39730147.2980195
"176","Chloroflexi","Soil",62622284.09,"Soil","Soil","Chloroflexi","Soil",39886663.2682352
"177","Firmicutes","Soil",10875967.7142,"Soil","Soil","Firmicutes","Soil",8251644.73277118
"178","Gemmatimonadetes","Soil",64561623.114,"Soil","Soil","Gemmatimonadetes","Soil",42303689.8040532
"179","Deltaproteobacteria","Soil",5893200.0722,"Soil","Soil","Deltaproteobacteria","Soil",4269810.95810712
"180","Others","Soil",73517126.102,"Soil","Soil","Others","Soil",32407343.9207499
