"","tax","variable","value","Niche","Genotype","tax","variable","sd"
"32","Chloroflexi","Rhizosphere-dmi3",98345161.458,"Rhizosphere","dmi3","Chloroflexi","Rhizosphere-dmi3",33089974.4673281
"33","Gemmatimonadetes","Rhizosphere-dmi3",119760830.22,"Rhizosphere","dmi3","Gemmatimonadetes","Rhizosphere-dmi3",27812241.2591132
"34","Firmicutes","Rhizosphere-dmi3",35893630.41,"Rhizosphere","dmi3","Firmicutes","Rhizosphere-dmi3",7495687.64797704
"35","Deltaproteobacteria","Rhizosphere-dmi3",16162250.9574,"Rhizosphere","dmi3","Deltaproteobacteria","Rhizosphere-dmi3",5873288.05113535
"36","Others","Rhizosphere-dmi3",129314491.28,"Rhizosphere","dmi3","Others","Rhizosphere-dmi3",24325537.4748385
"37","Alphaproteobacteria","Rhizosphere-ipd3",4102144633.2,"Rhizosphere","ipd3","Alphaproteobacteria","Rhizosphere-ipd3",1272776442.56837
"38","Acidobacteria","Rhizosphere-ipd3",1318363156.34,"Rhizosphere","ipd3","Acidobacteria","Rhizosphere-ipd3",417660452.480352
"39","Actinobacteria","Rhizosphere-ipd3",736905092.2,"Rhizosphere","ipd3","Actinobacteria","Rhizosphere-ipd3",183458779.799092
"40","Gammaproteobacteria","Rhizosphere-ipd3",532537706.66,"Rhizosphere","ipd3","Gammaproteobacteria","Rhizosphere-ipd3",167524126.834745
"41","Bacteroidetes","Rhizosphere-ipd3",181385588.82,"Rhizosphere","ipd3","Bacteroidetes","Rhizosphere-ipd3",59593539.1201405
"42","Betaproteobacteria","Rhizosphere-ipd3",314817377.06,"Rhizosphere","ipd3","Betaproteobacteria","Rhizosphere-ipd3",107164395.52839
"43","Verrucomicrobia","Rhizosphere-ipd3",368301404.2,"Rhizosphere","ipd3","Verrucomicrobia","Rhizosphere-ipd3",111963248.201944
"44","Chloroflexi","Rhizosphere-ipd3",158035793.012,"Rhizosphere","ipd3","Chloroflexi","Rhizosphere-ipd3",73609050.5898453
"45","Gemmatimonadetes","Rhizosphere-ipd3",106037711.26,"Rhizosphere","ipd3","Gemmatimonadetes","Rhizosphere-ipd3",53163806.8134429
"46","Firmicutes","Rhizosphere-ipd3",64351827.882,"Rhizosphere","ipd3","Firmicutes","Rhizosphere-ipd3",43617003.185471
"47","Deltaproteobacteria","Rhizosphere-ipd3",15584338.5522,"Rhizosphere","ipd3","Deltaproteobacteria","Rhizosphere-ipd3",6986550.54200919
"48","Others","Rhizosphere-ipd3",124465858.514,"Rhizosphere","ipd3","Others","Rhizosphere-ipd3",39958137.4115047
"49","Alphaproteobacteria","Rhizosphere-lyk3",4678900578.4,"Rhizosphere","lyk3","Alphaproteobacteria","Rhizosphere-lyk3",909904419.490677
"50","Acidobacteria","Rhizosphere-lyk3",1131195083.76,"Rhizosphere","lyk3","Acidobacteria","Rhizosphere-lyk3",195237693.870605
"51","Actinobacteria","Rhizosphere-lyk3",746385079.18,"Rhizosphere","lyk3","Actinobacteria","Rhizosphere-lyk3",226111730.723055
"52","Gammaproteobacteria","Rhizosphere-lyk3",689434233.62,"Rhizosphere","lyk3","Gammaproteobacteria","Rhizosphere-lyk3",116355894.217463
"53","Bacteroidetes","Rhizosphere-lyk3",490693319.84,"Rhizosphere","lyk3","Bacteroidetes","Rhizosphere-lyk3",517756113.646614
"54","Betaproteobacteria","Rhizosphere-lyk3",380413675.82,"Rhizosphere","lyk3","Betaproteobacteria","Rhizosphere-lyk3",95299419.456659
"55","Verrucomicrobia","Rhizosphere-lyk3",368100044.58,"Rhizosphere","lyk3","Verrucomicrobia","Rhizosphere-lyk3",97336354.4361354
"56","Chloroflexi","Rhizosphere-lyk3",126895120.806,"Rhizosphere","lyk3","Chloroflexi","Rhizosphere-lyk3",74031214.0756628
"57","Gemmatimonadetes","Rhizosphere-lyk3",101268045.312,"Rhizosphere","lyk3","Gemmatimonadetes","Rhizosphere-lyk3",30031072.3967074
"58","Firmicutes","Rhizosphere-lyk3",43255196.226,"Rhizosphere","lyk3","Firmicutes","Rhizosphere-lyk3",22501164.4258898
"59","Deltaproteobacteria","Rhizosphere-lyk3",26862278.446,"Rhizosphere","lyk3","Deltaproteobacteria","Rhizosphere-lyk3",6167879.13099114
"60","Others","Rhizosphere-lyk3",131559428.524,"Rhizosphere","lyk3","Others","Rhizosphere-lyk3",63116425.1428644
"61","Alphaproteobacteria","Rhizosphere-nfp",4028947331.8,"Rhizosphere","nfp","Alphaproteobacteria","Rhizosphere-nfp",1186050614.72341
"62","Acidobacteria","Rhizosphere-nfp",1264430347.28,"Rhizosphere","nfp","Acidobacteria","Rhizosphere-nfp",527849801.712495
"63","Actinobacteria","Rhizosphere-nfp",686752837.64,"Rhizosphere","nfp","Actinobacteria","Rhizosphere-nfp",237390806.488859
"64","Gammaproteobacteria","Rhizosphere-nfp",468598412.14,"Rhizosphere","nfp","Gammaproteobacteria","Rhizosphere-nfp",215922496.831649
"65","Bacteroidetes","Rhizosphere-nfp",288850193.86,"Rhizosphere","nfp","Bacteroidetes","Rhizosphere-nfp",275319310.545195
"66","Betaproteobacteria","Rhizosphere-nfp",267536100.6,"Rhizosphere","nfp","Betaproteobacteria","Rhizosphere-nfp",85729466.1197278
"67","Verrucomicrobia","Rhizosphere-nfp",391239227.76,"Rhizosphere","nfp","Verrucomicrobia","Rhizosphere-nfp",136469108.236543
"68","Chloroflexi","Rhizosphere-nfp",147763092.806,"Rhizosphere","nfp","Chloroflexi","Rhizosphere-nfp",87189924.1316077
"69","Gemmatimonadetes","Rhizosphere-nfp",61776451.49,"Rhizosphere","nfp","Gemmatimonadetes","Rhizosphere-nfp",7236260.05908978
"70","Firmicutes","Rhizosphere-nfp",81708355.024,"Rhizosphere","nfp","Firmicutes","Rhizosphere-nfp",45131738.1240431
"71","Deltaproteobacteria","Rhizosphere-nfp",5777778.7856,"Rhizosphere","nfp","Deltaproteobacteria","Rhizosphere-nfp",1273565.62763146
"72","Others","Rhizosphere-nfp",106215966.254,"Rhizosphere","nfp","Others","Rhizosphere-nfp",18657466.7277811
"73","Alphaproteobacteria","Rhizosphere-pt4",2500272727.6,"Rhizosphere","pt4","Alphaproteobacteria","Rhizosphere-pt4",699034430.886071
"74","Acidobacteria","Rhizosphere-pt4",1103166249.6,"Rhizosphere","pt4","Acidobacteria","Rhizosphere-pt4",331836425.353301
"75","Actinobacteria","Rhizosphere-pt4",756463913.28,"Rhizosphere","pt4","Actinobacteria","Rhizosphere-pt4",583549635.499712
"76","Gammaproteobacteria","Rhizosphere-pt4",499685620.12,"Rhizosphere","pt4","Gammaproteobacteria","Rhizosphere-pt4",289276239.402318
"77","Bacteroidetes","Rhizosphere-pt4",498973183.42,"Rhizosphere","pt4","Bacteroidetes","Rhizosphere-pt4",511841559.413683
"78","Betaproteobacteria","Rhizosphere-pt4",303446813.1,"Rhizosphere","pt4","Betaproteobacteria","Rhizosphere-pt4",47585749.1324057
"79","Verrucomicrobia","Rhizosphere-pt4",264263373.64,"Rhizosphere","pt4","Verrucomicrobia","Rhizosphere-pt4",92483143.6290921
"80","Chloroflexi","Rhizosphere-pt4",104963406.602,"Rhizosphere","pt4","Chloroflexi","Rhizosphere-pt4",47802466.708065
"81","Gemmatimonadetes","Rhizosphere-pt4",114331303.938,"Rhizosphere","pt4","Gemmatimonadetes","Rhizosphere-pt4",25508929.1640263
"82","Firmicutes","Rhizosphere-pt4",45864136.628,"Rhizosphere","pt4","Firmicutes","Rhizosphere-pt4",19424119.3431356
"83","Deltaproteobacteria","Rhizosphere-pt4",23757785.526,"Rhizosphere","pt4","Deltaproteobacteria","Rhizosphere-pt4",9214010.7529758
"84","Others","Rhizosphere-pt4",122470084.896,"Rhizosphere","pt4","Others","Rhizosphere-pt4",42638243.4125393
"85","Alphaproteobacteria","Root-A17",345038233.92,"Root","A17","Alphaproteobacteria","Root-A17",115089424.894989
"86","Acidobacteria","Root-A17",21744984.69,"Root","A17","Acidobacteria","Root-A17",1942967.02876704
"87","Actinobacteria","Root-A17",430200072.66,"Root","A17","Actinobacteria","Root-A17",89217934.8153525
"88","Gammaproteobacteria","Root-A17",243658010.98,"Root","A17","Gammaproteobacteria","Root-A17",97837601.2581368
"89","Bacteroidetes","Root-A17",35459401.838,"Root","A17","Bacteroidetes","Root-A17",15364065.6611915
"90","Betaproteobacteria","Root-A17",81215719.086,"Root","A17","Betaproteobacteria","Root-A17",33538836.5499779
"91","Verrucomicrobia","Root-A17",8469242.2096,"Root","A17","Verrucomicrobia","Root-A17",4921069.68280643
"92","Chloroflexi","Root-A17",9367882.5648,"Root","A17","Chloroflexi","Root-A17",5778630.02322273
"93","Gemmatimonadetes","Root-A17",2179057.36594,"Root","A17","Gemmatimonadetes","Root-A17",2724202.15692959
"94","Firmicutes","Root-A17",15594003.0502,"Root","A17","Firmicutes","Root-A17",8915251.04373077
"95","Deltaproteobacteria","Root-A17",7059651.1218,"Root","A17","Deltaproteobacteria","Root-A17",3546821.19267083
"96","Others","Root-A17",38829474.734,"Root","A17","Others","Root-A17",28413095.4982618
"97","Alphaproteobacteria","Root-dmi2",617399411.9,"Root","dmi2","Alphaproteobacteria","Root-dmi2",456898493.521474
"98","Acidobacteria","Root-dmi2",70244576.596,"Root","dmi2","Acidobacteria","Root-dmi2",93501197.5718334
"99","Actinobacteria","Root-dmi2",513336844.76,"Root","dmi2","Actinobacteria","Root-dmi2",319084134.920136
"100","Gammaproteobacteria","Root-dmi2",343463951.98,"Root","dmi2","Gammaproteobacteria","Root-dmi2",261982443.611373
"101","Bacteroidetes","Root-dmi2",69519523.888,"Root","dmi2","Bacteroidetes","Root-dmi2",72422291.3506805
"102","Betaproteobacteria","Root-dmi2",189026306.68,"Root","dmi2","Betaproteobacteria","Root-dmi2",210792368.454068
"103","Verrucomicrobia","Root-dmi2",10201375.825,"Root","dmi2","Verrucomicrobia","Root-dmi2",5030272.5636308
"104","Chloroflexi","Root-dmi2",25579228.9418,"Root","dmi2","Chloroflexi","Root-dmi2",20341971.4858608
"105","Gemmatimonadetes","Root-dmi2",4071180.514,"Root","dmi2","Gemmatimonadetes","Root-dmi2",2153979.30824492
"106","Firmicutes","Root-dmi2",38261344.47452,"Root","dmi2","Firmicutes","Root-dmi2",70815518.8968087
"107","Deltaproteobacteria","Root-dmi2",34710333.2184,"Root","dmi2","Deltaproteobacteria","Root-dmi2",32115888.0520673
"108","Others","Root-dmi2",68395207.662,"Root","dmi2","Others","Root-dmi2",78159872.4711518
"109","Alphaproteobacteria","Root-dmi3",855235450.9,"Root","dmi3","Alphaproteobacteria","Root-dmi3",374390367.136826
"110","Acidobacteria","Root-dmi3",174666487.724,"Root","dmi3","Acidobacteria","Root-dmi3",201435566.087353
"111","Actinobacteria","Root-dmi3",437100117.04,"Root","dmi3","Actinobacteria","Root-dmi3",289991469.965564
"112","Gammaproteobacteria","Root-dmi3",383878342.34,"Root","dmi3","Gammaproteobacteria","Root-dmi3",207336750.630774
"113","Bacteroidetes","Root-dmi3",80706262.094,"Root","dmi3","Bacteroidetes","Root-dmi3",43379410.852543
"114","Betaproteobacteria","Root-dmi3",89466360.096,"Root","dmi3","Betaproteobacteria","Root-dmi3",29495007.5485271
"115","Verrucomicrobia","Root-dmi3",32308088.74,"Root","dmi3","Verrucomicrobia","Root-dmi3",29013310.1351591
"116","Chloroflexi","Root-dmi3",57459558.7112,"Root","dmi3","Chloroflexi","Root-dmi3",61014276.9535087
"117","Gemmatimonadetes","Root-dmi3",15939044.262,"Root","dmi3","Gemmatimonadetes","Root-dmi3",18486511.8064334
"118","Firmicutes","Root-dmi3",17249879.95594,"Root","dmi3","Firmicutes","Root-dmi3",22426316.8920848
"119","Deltaproteobacteria","Root-dmi3",34492666.532,"Root","dmi3","Deltaproteobacteria","Root-dmi3",19180079.4500022
"120","Others","Root-dmi3",58926291.364,"Root","dmi3","Others","Root-dmi3",54290786.1590699
"121","Alphaproteobacteria","Root-ipd3",332813607.5,"Root","ipd3","Alphaproteobacteria","Root-ipd3",171914508.302871
"122","Acidobacteria","Root-ipd3",6929606.4032,"Root","ipd3","Acidobacteria","Root-ipd3",3724836.54986064
"123","Actinobacteria","Root-ipd3",493118675.34,"Root","ipd3","Actinobacteria","Root-ipd3",208004056.314665
"124","Gammaproteobacteria","Root-ipd3",153658428.088,"Root","ipd3","Gammaproteobacteria","Root-ipd3",80173083.3856132
"125","Bacteroidetes","Root-ipd3",19218669.8022,"Root","ipd3","Bacteroidetes","Root-ipd3",11520127.1072182
"126","Betaproteobacteria","Root-ipd3",34366344.108,"Root","ipd3","Betaproteobacteria","Root-ipd3",18838329.9741057
"127","Verrucomicrobia","Root-ipd3",3668266.8131,"Root","ipd3","Verrucomicrobia","Root-ipd3",2461311.87157124
"128","Chloroflexi","Root-ipd3",5575139.6614,"Root","ipd3","Chloroflexi","Root-ipd3",3034408.63908808
"129","Gemmatimonadetes","Root-ipd3",680848.10472,"Root","ipd3","Gemmatimonadetes","Root-ipd3",1369819.02292286
"130","Firmicutes","Root-ipd3",7237804.099,"Root","ipd3","Firmicutes","Root-ipd3",5384990.49545694
"131","Deltaproteobacteria","Root-ipd3",3691994.8596,"Root","ipd3","Deltaproteobacteria","Root-ipd3",2667085.49325935
"132","Others","Root-ipd3",23291283.3862,"Root","ipd3","Others","Root-ipd3",17645807.1269382
"133","Alphaproteobacteria","Root-lyk3",220960165.08,"Root","lyk3","Alphaproteobacteria","Root-lyk3",74823850.4548932
"134","Acidobacteria","Root-lyk3",6845462.5184,"Root","lyk3","Acidobacteria","Root-lyk3",4691070.70812301
"135","Actinobacteria","Root-lyk3",424006912.48,"Root","lyk3","Actinobacteria","Root-lyk3",165874783.152616
"136","Gammaproteobacteria","Root-lyk3",169818757.9,"Root","lyk3","Gammaproteobacteria","Root-lyk3",56547104.6451177
"137","Bacteroidetes","Root-lyk3",19256331.9534,"Root","lyk3","Bacteroidetes","Root-lyk3",19425239.9507536
"138","Betaproteobacteria","Root-lyk3",48041539.676,"Root","lyk3","Betaproteobacteria","Root-lyk3",27890698.6674822
"139","Verrucomicrobia","Root-lyk3",3411593.4472,"Root","lyk3","Verrucomicrobia","Root-lyk3",991944.20329279
"140","Chloroflexi","Root-lyk3",3584431.2678,"Root","lyk3","Chloroflexi","Root-lyk3",2316798.02932366
"141","Gemmatimonadetes","Root-lyk3",992487.89908,"Root","lyk3","Gemmatimonadetes","Root-lyk3",1025781.57460393
"142","Firmicutes","Root-lyk3",9057675.6052,"Root","lyk3","Firmicutes","Root-lyk3",6276406.06294406
"143","Deltaproteobacteria","Root-lyk3",4107951.1656,"Root","lyk3","Deltaproteobacteria","Root-lyk3",3246380.06314055
"144","Others","Root-lyk3",12324624.618,"Root","lyk3","Others","Root-lyk3",5692130.33656966
"145","Alphaproteobacteria","Root-nfp",234759466.54,"Root","nfp","Alphaproteobacteria","Root-nfp",90460229.0413448
"146","Acidobacteria","Root-nfp",11008602.5156,"Root","nfp","Acidobacteria","Root-nfp",8477822.0233258
"147","Actinobacteria","Root-nfp",432813899.1,"Root","nfp","Actinobacteria","Root-nfp",196681020.261947
"148","Gammaproteobacteria","Root-nfp",172065132.09,"Root","nfp","Gammaproteobacteria","Root-nfp",68931630.2268602
"149","Bacteroidetes","Root-nfp",20429503.3464,"Root","nfp","Bacteroidetes","Root-nfp",15749304.3153777
"150","Betaproteobacteria","Root-nfp",47577965.458,"Root","nfp","Betaproteobacteria","Root-nfp",21063991.1537305
"151","Verrucomicrobia","Root-nfp",3736817.7248,"Root","nfp","Verrucomicrobia","Root-nfp",2477113.22351752
"152","Chloroflexi","Root-nfp",10174198.1818,"Root","nfp","Chloroflexi","Root-nfp",7613049.10396091
"153","Gemmatimonadetes","Root-nfp",1301609.8876,"Root","nfp","Gemmatimonadetes","Root-nfp",1823638.92143884
"154","Firmicutes","Root-nfp",17476771.0688,"Root","nfp","Firmicutes","Root-nfp",13362607.9973586
"155","Deltaproteobacteria","Root-nfp",11601026.0508,"Root","nfp","Deltaproteobacteria","Root-nfp",12833841.1587367
"156","Others","Root-nfp",9271385.289,"Root","nfp","Others","Root-nfp",6572792.87290919
"157","Alphaproteobacteria","Root-pt4",231765271.674,"Root","pt4","Alphaproteobacteria","Root-pt4",104083321.564932
"158","Acidobacteria","Root-pt4",16281497.5776,"Root","pt4","Acidobacteria","Root-pt4",26299462.0121478
"159","Actinobacteria","Root-pt4",190156966.436,"Root","pt4","Actinobacteria","Root-pt4",84511361.6813335
"160","Gammaproteobacteria","Root-pt4",96498118.226,"Root","pt4","Gammaproteobacteria","Root-pt4",45828059.7329716
"161","Bacteroidetes","Root-pt4",19059504.0114,"Root","pt4","Bacteroidetes","Root-pt4",13868411.4679894
"162","Betaproteobacteria","Root-pt4",43441244.558,"Root","pt4","Betaproteobacteria","Root-pt4",26614228.2789697
"163","Verrucomicrobia","Root-pt4",6391833.5818,"Root","pt4","Verrucomicrobia","Root-pt4",4280364.70843901
"164","Chloroflexi","Root-pt4",14361021.7758,"Root","pt4","Chloroflexi","Root-pt4",9857799.75251605
"165","Gemmatimonadetes","Root-pt4",3248554.1728,"Root","pt4","Gemmatimonadetes","Root-pt4",2172853.12147694
"166","Firmicutes","Root-pt4",8624089.29268,"Root","pt4","Firmicutes","Root-pt4",14030816.5391134
"167","Deltaproteobacteria","Root-pt4",8760406.8586,"Root","pt4","Deltaproteobacteria","Root-pt4",5868413.39704397
"168","Others","Root-pt4",20237955.7868,"Root","pt4","Others","Root-pt4",20788796.5367285
"169","Alphaproteobacteria","Soil",107447773.276,"Soil","Soil","Alphaproteobacteria","Soil",73291364.3152817
"170","Acidobacteria","Soil",242326944.18,"Soil","Soil","Acidobacteria","Soil",131535018.764218
"171","Actinobacteria","Soil",84809287.006,"Soil","Soil","Actinobacteria","Soil",76502748.1492975
"172","Gammaproteobacteria","Soil",26622920.5014,"Soil","Soil","Gammaproteobacteria","Soil",22175788.6404779
"173","Bacteroidetes","Soil",9883412.161,"Soil","Soil","Bacteroidetes","Soil",4090130.94620251
"174","Betaproteobacteria","Soil",27622300.584,"Soil","Soil","Betaproteobacteria","Soil",15883755.9802796
"175","Verrucomicrobia","Soil",54033593.57,"Soil","Soil","Verrucomicrobia","Soil",38756284.1318488
"176","Chloroflexi","Soil",33910132.82,"Soil","Soil","Chloroflexi","Soil",22155081.0990793
"177","Gemmatimonadetes","Soil",38342785.63,"Soil","Soil","Gemmatimonadetes","Soil",25226972.0311958
"178","Firmicutes","Soil",4457942.4508,"Soil","Soil","Firmicutes","Soil",2127897.26237548
"179","Deltaproteobacteria","Soil",2675145.7574,"Soil","Soil","Deltaproteobacteria","Soil",2031612.6272178
"180","Others","Soil",58392256.892,"Soil","Soil","Others","Soil",26342311.0884723
